stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25
speed,set013-A4_352.txt,13,4.47,2.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
distance,set013-A4_352.txt,13,28.9,5.65,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,1.88,2.51,2.51,1.88,1.88,1.88,2.51,1.88,1.88,1.88,1.88
trough,set013-A4_41.txt,13,17,16,20,8,0,29,14,3,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set013-A4_41.txt,13,4.77,7.18,4.63,3.53,0,5.37,3.12,0,0,0,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-A4_41.txt,13,5.65,8.8,11.31,3.77,0,16.96,7.54,0.63,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-A4_425.txt,13,11,9,7,6,6,9,6,6,6,5,6,6,6,5,5,6,5,5,4,4,5,5,4,4,4
speed,set013-A4_425.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-A4_425.txt,13,1.26,1.26,1.26,0.63,0.63,1.26,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
trough,set013-A4_52.txt,13,60,58,57,57,56,58,57,57,56,56,57,56,56,55,55,56,56,55,55,55,55,55,55,55,55
speed,set013-A4_52.txt,13,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.39,0.38,0.38,0.39,0.38,0.37,0.37,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
