stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25
trough,set010-A1_169.txt,10,9630,12074,16694,16654,16654,15074,16654,16654,16654,16654,16654,16654,16654,16654,16654,16654,16654,16654,16654,16654,16654,16654,16654,16654,16654
speed,set010-A1_169.txt,10,0.39,0.53,0.43,0.42,0.42,0.62,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
distance,set010-A1_169.txt,10,6030.42,7578.55,10486.96,10461.82,10461.82,9428.9,10461.82,10461.82,10461.82,10461.82,10461.82,10461.82,10461.82,10461.82,10461.82,10461.82,10461.82,10461.82,10461.82,10461.82,10461.82,10461.82,10461.82,10461.82,10461.82
trough,set010-A1_83.txt,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
speed,set010-A1_83.txt,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set010-A1_83.txt,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set010-A2_194.txt,10,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
speed,set010-A2_194.txt,10,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
distance,set010-A2_194.txt,10,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91,1267.91
trough,set010-A2_20.txt,10,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372
speed,set010-A2_20.txt,10,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
distance,set010-A2_20.txt,10,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77,860.77
trough,set010-A2_261.txt,10,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752
