stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25
trough,set007-A1_201.txt,07,5322,5328,5350,5373,5431,5333,5369,5404,5468,5556,5384,5416,5517,5581,5723,5468,5556,5658,5759,5749,5598,5701,5759,5741,5659
speed,set007-A1_201.txt,07,0.38,0.39,0.43,0.48,0.61,0.4,0.47,0.55,0.69,0.87,0.5,0.57,0.79,0.92,1.23,0.69,0.87,1.09,1.3,1.29,0.96,1.18,1.3,1.27,1.08
distance,set007-A1_201.txt,07,3342.56,3346.33,3360.15,3374.6,3411.04,3349.47,3372.09,3394.08,3434.29,3489.58,3381.51,3401.62,3465.07,3505.29,3594.5,3434.29,3489.58,3553.66,3617.12,3610.84,3515.97,3580.68,3617.12,3605.81,3554.29
trough,set007-A1_246.txt,07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
speed,set007-A1_246.txt,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set007-A1_246.txt,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set007-A1_394.txt,07,23715,23712,23704,23704,23705,23707,23705,23704,23701,23696,23702,23703,23697,23696,23696,23701,23696,23696,23696,23696,23696,23696,23696,23696,23696
speed,set007-A1_394.txt,07,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
distance,set007-A1_394.txt,07,14898.88,14896.99,14891.97,14891.97,14893.22,14893.85,14892.59,14892.59,14890.71,14887.57,14890.71,14891.97,14888.2,14887.57,14887.57,14890.71,14887.57,14887.57,14887.57,14887.57,14887.57,14887.57,14887.57,14887.57,14887.57
trough,set007-A2_188.txt,07,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
speed,set007-A2_188.txt,07,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
distance,set007-A2_188.txt,07,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51
trough,set007-A2_222.txt,07,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
speed,set007-A2_222.txt,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set007-A2_222.txt,07,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
trough,set007-A2_237.txt,07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
speed,set007-A2_237.txt,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set007-A2_237.txt,07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set007-A2_346.txt,07,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
speed,set007-A2_346.txt,07,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
distance,set007-A2_346.txt,07,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
