stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25
trough,set014-A1_208.txt,14,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
speed,set014-A1_208.txt,14,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.22,0.22,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
distance,set014-A1_208.txt,14,19.48,19.48,20.11,20.11,19.48,20.11,20.11,20.11,19.48,19.48,20.11,19.48,19.48,19.48,19.48,19.48,19.48,19.48,19.48,19.48,19.48,19.48,19.48,19.48,19.48
trough,set014-A1_318.txt,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
speed,set014-A1_318.txt,14,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
distance,set014-A1_318.txt,14,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03
trough,set014-A1_38.txt,14,16262,16262,16262,16262,16262,16262,16262,16262,16262,16262,16262,16262,16262,16262,16262,16262,16262,16262,16262,16262,16262,16262,16262,16262,16262
speed,set014-A1_38.txt,14,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
distance,set014-A1_38.txt,14,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64,10213.64
trough,set014-A1_409.txt,14,5175,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045
speed,set014-A1_409.txt,14,0.47,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
distance,set014-A1_409.txt,14,3248.94,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26,3167.26
trough,set014-A1_97.txt,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
speed,set014-A1_97.txt,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set014-A1_97.txt,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
