stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25
trough,set011-A1_102.txt,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
speed,set011-A1_102.txt,11,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
distance,set011-A1_102.txt,11,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77
trough,set011-A1_176.txt,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
speed,set011-A1_176.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set011-A1_176.txt,11,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
trough,set011-A1_37.txt,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
speed,set011-A1_37.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set011-A1_37.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set011-A1_423.txt,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
speed,set011-A1_423.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set011-A1_423.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set011-A1_62.txt,11,15630,15719,15919,16268,16586,15762,16094,16335,16665,16878,16268,16586,16797,17072,16787,16629,16977,17089,16558,16324,17072,16787,16389,16246,16238
speed,set011-A1_62.txt,11,0.44,0.45,0.5,0.58,0.63,0.47,0.55,0.59,0.63,0.66,0.58,0.63,0.65,0.68,0.59,0.64,0.7,0.7,0.52,0.46,0.68,0.59,0.48,0.44,0.44
distance,set011-A1_62.txt,11,9812.16,9864.94,9991.23,10206.11,10405.9,9892.58,10099.29,10249.46,10455.54,10595.02,10206.11,10405.9,10542.25,10722.57,10544.13,10432.92,10660.99,10733.88,10400.25,10253.23,10722.57,10544.13,10294.07,10204.22,10199.19
trough,set011-A2_179.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set011-A2_179.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set011-A2_179.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set011-A2_209.txt,11,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880
speed,set011-A2_209.txt,11,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
distance,set011-A2_209.txt,11,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39,550.39
trough,set011-A2_233.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set011-A2_233.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set011-A2_233.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set011-A2_40.txt,11,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824,1824
speed,set011-A2_40.txt,11,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
distance,set011-A2_40.txt,11,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39,1145.39
trough,set011-A2_69.txt,11,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999,2999
speed,set011-A2_69.txt,11,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
distance,set011-A2_69.txt,11,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25,1879.25
trough,set011-A2_81.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set011-A2_81.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set011-A2_81.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set011-A3_125.txt,11,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565
speed,set011-A3_125.txt,11,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
distance,set011-A3_125.txt,11,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45,1608.45
trough,set011-A3_136.txt,11,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
speed,set011-A3_136.txt,11,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
distance,set011-A3_136.txt,11,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54
trough,set011-A3_155.txt,11,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
speed,set011-A3_155.txt,11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
distance,set011-A3_155.txt,11,3.14,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77
trough,set011-A3_196.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set011-A3_196.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set011-A3_196.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set011-A3_328.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set011-A3_328.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set011-A3_328.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
