stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25
trough,set001-A2_114.txt,01,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
speed,set001-A2_114.txt,01,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
distance,set001-A2_114.txt,01,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88
trough,set001-A2_318.txt,01,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895,2895
speed,set001-A2_318.txt,01,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
distance,set001-A2_318.txt,01,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3,1818.3
trough,set001-A2_37.txt,01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
speed,set001-A2_37.txt,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set001-A2_37.txt,01,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
trough,set001-A2_423.txt,01,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
speed,set001-A2_423.txt,01,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
distance,set001-A2_423.txt,01,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31
trough,set001-A2_426.txt,01,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
speed,set001-A2_426.txt,01,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
