stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25
trough,set002-A2_144.txt,02,11174,11174,11174,11174,11174,11174,11174,11174,11174,11174,11174,11174,11174,11174,11174,11174,11174,11174,11174,11174,11174,11174,11174,11174,11174
speed,set002-A2_144.txt,02,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
distance,set002-A2_144.txt,02,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54,6956.54
trough,set002-A3_100.txt,02,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48,47,48,48,48,48,48,48,48,48,48
speed,set002-A3_100.txt,02,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
distance,set002-A3_100.txt,02,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,23.88,24.5,24.5,23.88,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
trough,set002-A3_17.txt,02,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294
speed,set002-A3_17.txt,02,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
distance,set002-A3_17.txt,02,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49,5210.49
trough,set002-A3_190.txt,02,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
