stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25
trough,set009-A4_353.txt,09,1520,1520,1519,1520,1518,1519,1519,1519,1518,1516,1519,1518,1517,1516,1516,1518,1516,1516,1516,1516,1516,1516,1516,1516,1516
speed,set009-A4_353.txt,09,0.29,0.29,0.28,0.3,0.28,0.28,0.28,0.3,0.28,0.27,0.3,0.28,0.27,0.27,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
distance,set009-A4_353.txt,09,951.25,951.25,950.62,951.25,949.99,950.62,950.62,950.62,949.99,948.73,950.62,949.99,949.36,948.73,948.73,949.99,948.73,948.73,948.73,948.73,948.73,948.73,948.73,948.73,948.73
trough,set009-A4_384.txt,09,255,223,209,208,204,213,209,208,201,200,209,206,200,201,200,201,200,200,200,200,200,200,199,200,200
speed,set009-A4_384.txt,09,1.14,0.79,0.47,0.43,0.45,0.53,0.44,0.45,0.42,0.42,0.48,0.45,0.42,0.45,0.48,0.42,0.42,0.48,0.48,0.47,0.45,0.48,0.43,0.47,0.46
distance,set009-A4_384.txt,09,145.77,126.29,119.38,118.75,116.24,121.89,119.38,118.75,114.98,114.98,119.38,117.49,114.98,115.61,115.61,114.98,114.98,115.61,115.61,115.61,115.61,115.61,114.98,115.61,115.61
trough,set009-B1_29.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set009-B1_29.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set009-B1_29.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set009-B1_315.txt,09,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948
speed,set009-B1_315.txt,09,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
distance,set009-B1_315.txt,09,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37,594.37
trough,set009-B1_438.txt,09,22709,22709,22709,22709,22709,22709,22709,22709,22709,22709,22709,22709,22709,22709,22709,22709,22709,22709,22709,22709,22709,22709,22709,22709,22709
speed,set009-B1_438.txt,09,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
distance,set009-B1_438.txt,09,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55,14265.55
trough,set009-B2_197.txt,09,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
speed,set009-B2_197.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set009-B2_197.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set009-B2_232.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set009-B2_232.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set009-B2_232.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set009-B2_325.txt,09,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147
speed,set009-B2_325.txt,09,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
distance,set009-B2_325.txt,09,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96,87.96
trough,set009-B2_35.txt,09,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
speed,set009-B2_35.txt,09,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
distance,set009-B2_35.txt,09,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19,13.19
trough,set009-B2_429.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set009-B2_429.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set009-B2_429.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set009-B2_49.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set009-B2_49.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set009-B2_49.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set009-B2_98.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set009-B2_98.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set009-B2_98.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set009-B3_10.txt,09,207,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208
speed,set009-B3_10.txt,09,0.29,0.32,0.33,0.33,0.33,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
distance,set009-B3_10.txt,09,126.92,127.54,127.54,127.54,127.54,127.54,127.54,127.54,127.54,127.54,127.54,127.54,127.54,127.54,127.54,127.54,127.54,127.54,127.54,127.54,127.54,127.54,127.54,127.54,127.54
trough,set009-B3_135.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set009-B3_135.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set009-B3_135.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set009-B3_345.txt,09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,set009-B3_345.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set009-B3_345.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set009-B3_350.txt,09,9605,9605,9605,9605,9605,9605,9605,9605,9605,9605,9605,9605,9605,9605,9605,9605,9605,9605,9605,9605,9605,9605,9605,9605,9605
speed,set009-B3_350.txt,09,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
distance,set009-B3_350.txt,09,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94,6032.94
trough,set009-B3_358.txt,09,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
speed,set009-B3_358.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set009-B3_358.txt,09,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
trough,set009-B3_400.txt,09,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,4,4,4,4
speed,set009-B3_400.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set009-B3_400.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set009-B4_303.txt,09,3152,3152,3151,3151,3147,3152,3151,3151,3146,3145,3151,3147,3145,3144,3143,3147,3144,3144,3143,3143,3144,3144,3143,3143,3143
speed,set009-B4_303.txt,09,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
distance,set009-B4_303.txt,09,1919.46,1919.46,1918.83,1918.83,1916.32,1919.46,1918.83,1918.83,1916.32,1915.69,1918.83,1916.32,1915.69,1915.06,1914.43,1916.94,1915.06,1915.06,1914.43,1914.43,1915.06,1915.06,1914.43,1914.43,1914.43
trough,set009-B4_357.txt,09,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,3,3
speed,set009-B4_357.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set009-B4_357.txt,09,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
trough,set009-B4_424.txt,09,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,404,403,405,405,404,403,403
speed,set009-B4_424.txt,09,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
distance,set009-B4_424.txt,09,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32,251.32
