stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25
trough,set009-A1_108.txt,09,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
speed,set009-A1_108.txt,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set009-A1_108.txt,09,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
trough,set009-A1_18.txt,09,33554,33554,33554,33554,33554,33554,33554,33554,33554,33554,33554,33554,33554,33554,33554,33554,33554,33554,33554,33554,33554,33554,33554,33554,33554
speed,set009-A1_18.txt,09,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
distance,set009-A1_18.txt,09,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72,21080.72
trough,set009-A2_137.txt,09,8560,8560,8560,8560,8560,8560,8560,8560,8560,8560,8560,8560,8560,8560,8560,8560,8560,8560,8560,8560,8560,8560,8560,8560,8560
speed,set009-A2_137.txt,09,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
distance,set009-A2_137.txt,09,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62,5377.62
trough,set009-A2_210.txt,09,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345
speed,set009-A2_210.txt,09,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
distance,set009-A2_210.txt,09,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34,2729.34
trough,set009-A3_131.txt,09,21465,21465,21465,21465,21465,21465,21465,21465,21465,21465,21465,21465,21465,21465,21465,21465,21465,21465,21465,21465,21465,21465,21465,21465,21465
speed,set009-A3_131.txt,09,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
distance,set009-A3_131.txt,09,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57,13484.57
trough,set009-A3_245.txt,09,13,13,13,13,14,13,13,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14
speed,set009-A3_245.txt,09,0,0,0,0,1.57,0,0,1.57,1.57,1.57,0,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.61,1.61,1.57,1.57,1.61,1.61,1.61
distance,set009-A3_245.txt,09,1.26,1.26,1.26,1.26,1.88,1.26,1.26,1.88,1.88,1.88,1.26,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88
trough,set009-A4_154.txt,09,32,24,16,13,8,18,13,10,6,6,13,8,6,6,6,7,6,6,6,6,6,6,6,6,6
speed,set009-A4_154.txt,09,3.92,3.59,2.62,2.56,0.25,1.82,2.91,0.92,0.25,0.25,2.56,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
distance,set009-A4_154.txt,09,15.71,10.68,5.65,5.03,1.88,6.91,5.03,3.77,1.88,1.88,5.03,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88
trough,set009-A4_183.txt,09,2067,2066,2064,2063,2063,2064,2064,2063,2062,2062,2063,2063,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062
speed,set009-A4_183.txt,09,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
distance,set009-A4_183.txt,09,1292.41,1292.41,1291.16,1291.16,1291.16,1291.16,1291.16,1291.16,1290.53,1290.53,1291.16,1291.16,1290.53,1290.53,1290.53,1290.53,1290.53,1290.53,1290.53,1290.53,1290.53,1290.53,1290.53,1290.53,1290.53
trough,set009-A4_26.txt,09,248,235,230,214,189,236,224,206,184,170,214,189,175,162,140,186,167,154,143,135,162,140,139,129,121
speed,set009-A4_26.txt,09,4.15,3.95,4.28,4.02,3.69,4.07,4.12,3.74,3.9,3.97,4.02,3.69,4.21,3.62,3.11,3.73,3.68,3.26,3.57,3.5,3.62,3.11,3.56,3.37,3.18
distance,set009-A4_26.txt,09,145.14,136.97,133.83,123.78,108.07,137.6,130.06,118.12,104.93,96.13,123.78,108.07,99.27,91.73,77.28,106.18,94.24,86.71,79.17,74.14,91.73,77.28,76.65,70.37,65.34
