stat,filename,set,combo_1,combo_2,combo_3,combo_4,combo_5,combo_6,combo_7,combo_8,combo_9,combo_10,combo_11,combo_12,combo_13,combo_14,combo_15,combo_16,combo_17,combo_18,combo_19,combo_20,combo_21,combo_22,combo_23,combo_24,combo_25
trough,set013-A1_111.txt,13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
speed,set013-A1_111.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distance,set013-A1_111.txt,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trough,set013-A1_143.txt,13,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045,5045
speed,set013-A1_143.txt,13,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
distance,set013-A1_143.txt,13,3147.78,3147.78,3148.41,3148.41,3148.41,3147.78,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41,3148.41
trough,set013-A1_22.txt,13,76,45,29,27,13,39,28,29,11,13,27,13,15,3,3,12,11,3,0,0,3,3,0,0,0
speed,set013-A1_22.txt,13,2.21,2.71,2.59,5.21,3.2,2.39,2.85,6.82,2.94,2.96,5.21,3.2,3.8,0,0,2.59,2.85,0,0,0,0,0,0,0,0
distance,set013-A1_22.txt,13,39.58,21.36,12.57,12.57,5.03,17.59,13.82,13.82,3.77,5.65,12.57,5.03,6.91,0.63,0.63,4.4,5.03,0.63,0,0,0.63,0.63,0,0,0
trough,set013-A1_236.txt,13,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211
speed,set013-A1_236.txt,13,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
distance,set013-A1_236.txt,13,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03,125.03
trough,set013-A1_315.txt,13,20,21,21,26,29,21,21,21,20,13,26,29,24,10,10,16,11,10,10,10,10,10,10,10,10
speed,set013-A1_315.txt,13,1.39,1.27,1.25,2.43,1.02,1.98,1.82,1.91,2.64,0.44,2.43,1.02,1.16,0.45,0.45,1.18,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
distance,set013-A1_315.txt,13,7.54,8.8,8.8,11.94,14.45,8.8,8.8,9.42,8.8,5.03,11.94,14.45,11.94,3.77,3.77,6.28,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77
trough,set013-A1_359.txt,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
