ID,sex,population,site,host_plant,short-wing?,latitude,longitude,field_date_collected
73,F,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
74,M,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
75,F,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
76,M,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
77,M,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
78,M,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
79,M,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
80,M,Leesburg,Mount & 8th,K.elegans,N,28.7963435,-81.8778849,2.7.2020
81,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
82,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
83,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
84,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
85,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
86,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
87,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
88,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
89,F,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
90,M,Gainesville,23rd & 8th,K.elegans,N,29.66200224,-82.347313,2.9.2020
91,F,North Key Largo,Dynamite Docks,C. corindum,N,25.286747,-80.290592,2.3.2020
92,F,North Key Largo,Dynamite Docks,C. corindum,N,25.286747,-80.290592,2.3.2020
93,F,North Key Largo,Dynamite Docks,C. corindum,N,25.286747,-80.290592,2.3.2020
94,M,North Key Largo,Dynamite Docks,C. corindum,N,25.286747,-80.290592,2.3.2020
95,M,North Key Largo,Dynamite Docks,C. corindum,N,25.286747,-80.290592,2.3.2020
96,F,North Key Largo,MM165,C. corindum,N,25.2275238,-80.3283788,2.4.2020
97,F,North Key Largo,MM165,C. corindum,N,25.2275238,-80.3283788,2.4.2020
98,M,North Key Largo,MM165,C. corindum,N,25.2275238,-80.3283788,2.4.2020
99,M,North Key Largo,MM165,C. corindum,N,25.2275238,-80.3283788,2.4.2020
100,M,North Key Largo,MM165,C. corindum,N,25.2275238,-80.3283788,2.4.2020
101,F,Plantation Key,Aregood Ln,C. corindum,N,24.9735748,-80.5539224,2.4.2020
102,M,Plantation Key,Aregood Ln,C. corindum,N,24.9735748,-80.5539224,2.4.2020
103,F,Plantation Key,Aregood Ln,C. corindum,N,24.9735748,-80.5539224,2.4.2020
104,M,Plantation Key,Aregood Ln,C. corindum,N,24.9735748,-80.5539224,2.4.2020
105,M,Plantation Key,Aregood Ln,C. corindum,N,24.9735748,-80.5539224,2.4.2020
106,F,Plantation Key,Founder's,C. corindum,N,24.96424,-80.5673321,2.4.2020
107,M,Plantation Key,Founder's,C. corindum,N,24.96424,-80.5673321,2.4.2020
108,M,Plantation Key,Founder's,C. corindum,N,24.96424,-80.5673321,2.4.2020
109,F,Plantation Key,Founder's,C. corindum,N,24.96424,-80.5673321,2.4.2020
110,M,Plantation Key,Founder's,C. corindum,N,24.96424,-80.5673321,2.4.2020
111,F,Key Largo,KLMRL,C. corindum,N,25.1000151,-80.437522,2.5.2020
112,F,Key Largo,KLMRL,C. corindum,N,25.1000151,-80.437522,2.5.2020
113,M,Key Largo,KLMRL,C. corindum,N,25.1000151,-80.437522,2.5.2020
114,M,Key Largo,KLMRL,C. corindum,N,25.1000151,-80.437522,2.5.2020
115,F,Key Largo,KLMRL,C. corindum,N,25.1000151,-80.437522,2.5.2020
116,F,Key Largo,JP,C. corindum,N,25.1284578,-80.4080913,2.5.2020
117,F,Key Largo,JP,C. corindum,N,25.1284578,-80.4080913,2.5.2020
118,M,Key Largo,JP,C. corindum,N,25.1284578,-80.4080913,2.5.2020
119,F,Key Largo,JP,C. corindum,N,25.1284578,-80.4080913,2.5.2020
120,M,Key Largo,JP,C. corindum,N,25.1284578,-80.4080913,2.5.2020
121,M,North Key Largo,N. Dagny,C. corindum,N,25.1820931,-80.3631938,2.5.2020
122,M,North Key Largo,N. Dagny,C. corindum,N,25.1820931,-80.3631938,2.5.2020
123,M,North Key Largo,N. Dagny,C. corindum,N,25.1820931,-80.3631938,2.5.2020
