ID,filename,trial_type,chamber,channel_letter,channel_num,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,recording_duration,max_speed,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,latitude,longitude,total_eggs,beak,thorax,wing,body,w_morph,morph_notes,tested
356,set001-2-17-2020-A4_356.txt,T1,A-4,A,4,1,0.26,590.52,11.31,0.0,569.88,0.3,1983.47,0.46,2020-02-17,15:08:00,15:38:00,1800.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.038,N,25.1820931,-80.36319379999998,,6.02,2.76,7.12,10.08,L,wings torn at the end,yes
36,set001-2-17-2020-A4_36.txt,T1,A-4,A,4,1,0.27,63.72,18.22,0.0,34.56,0.04,1817.67,0.32,2020-02-17,15:40:00,16:11:00,1860.0,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,Y,B,,0.051,N,25.1755702,-80.36780089,,5.95,3.1,8.2,11.48,L,,yes
74,set001-2-17-2020-A4_74.txt,T1,A-4,A,4,1,0.49,32.24,16.34,0.0,26.5,0.02,2093.15,0.58,2020-02-17,10:28:00,11:01:00,1980.0,M,Leesburg,Lake,Mount & 8th,K.elegans,Y,B,,0.033,N,28.7963435,-81.8778849,,5.11,2.81,7.98,10.98,L,,yes
92,set001-2-17-2020-A4_92.txt,T1,A-4,A,4,1,0.37,110.16,37.7,74.34,74.34,0.05,2258.43,0.51,2020-02-17,12:48:00,13:22:00,2040.0,F,North Key Largo,North Key Largo,Dynamite Docks,C. corindum,Y,B,,0.084,N,25.286747,-80.290592,9.0,7.85,3.73,9.71,13.2,L,,yes
62,set001-2-17-2020-B1_62.txt,T1,B-1,B,1,1,0.33,42079.92,13181.11,149.79,32154.61,0.97,43190.19,0.62,2020-02-17,9:18:00,21:26:24,43704.0,M,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,SENSOR: sensor readings very small drops ,0.033,N,27.8967403,-81.58046540000002,,5.41,2.98,8.03,11.18,L,,yes
63,set001-2-17-2020-B1_63.txt,T1,B-1,B,1,1,0.5,1261.41,632.7,0.0,1261.41,0.3,4210.83,0.57,2020-02-17,8:45:00,09:15:00,1800.0,F,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,,0.069,N,27.8967403,-81.58046540000002,144.0,7.75,3.58,9.34,13.26,L,,yes
267,set001-2-17-2020-B2_267.txt,T1,B-2,B,2,1,0.24,41970.11,9822.21,0.0,41970.11,0.89,47401.03,0.45,2020-02-17,8:15:00,19:56:05,42065.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.04,N,27.298631,-81.36615,,5.56,3.1,8.99,12.33,L,,yes
202,set001-2-17-2020-B3_202.txt,T1,B-3,B,3,1,0.22,11833.33,2306.49,0.0,11081.24,0.93,12729.19,0.36,2020-02-17,8:15:00,11:26:00,11460.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,C,,0.037000000000000005,N,24.9735748,-80.5539224,,5.59,3.13,8.35,11.45,L,,yes
203,set001-2-17-2020-B3_203.txt,T1,B-3,B,3,1,0.23,2496.43,547.25,0.0,2496.43,0.61,4123.87,0.48,2020-02-17,11:40:00,12:27:00,2820.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,BC,DATA COL: blew on it by accident at 12:27; taken down at 12:41,0.044,N,24.9735748,-80.5539224,,5.82,3.34,8.52,11.93,L,,yes
223,set001-2-17-2020-B3_223.txt,T1,B-3,B,3,1,0.21,4801.88,2967.46,73.28,4226.16,0.31,15463.95,0.91,2020-02-17,12:49:00,17:15:00,15960.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.031,N,25.273488500000006,-80.3040957,,5.72,3.06,7.8,10.72,L,,yes
