ID,died?,chamber,set_number,test_date,time_start,time_end,next_day?,population,flew,flight_type,mass,eggs,NOTES,trial_type
326,,B-1,3,02.19.2020,8:25:00,16:29:00,,North Key Largo,Y,C,0.085,Y,,T1
115,,B-2,3,02.19.2020,8:25:00,08:58:00,,Key Largo,N,,0.087,Y,,T1
395,,B-3,3,02.19.2020,8:26:00,08:58:00,,Key Largo,N,,0.048,N,,T1
151,,B-4,3,02.19.2020,8:26:00,10:44:00,,Homestead,Y,C,0.095,N,,T1
238,,A-2,3,02.19.2020,9:00:00,09:31:00,,North Key Largo,N,,0.034,N,,T1
311,,B-2,3,02.19.2020,9:00:00,09:31:00,,Key Largo,N,,0.036,N,,T1
129,,B-3,3,02.19.2020,9:00:00,09:31:00,,North Key Largo,Y,B,0.036,N,,T1
441,,A-2,3,02.19.2020,9:33:00,10:47:00,,North Key Largo,Y,C,0.052,N,,T1
204,,A-3,3,02.19.2020,9:34:00,10:08:00,,Plantation Key,Y,B,0.033,N,,T1
123,,A-4,3,02.19.2020,9:35:00,10:08:00,,North Key Largo,Y,B,0.030,N,,T1
28,,B-2,3,02.19.2020,9:35:00,10:08:00,,North Key Largo,Y,B,0.035,N,,T1
269,,B-3,3,02.19.2020,9:36:00,17:40:00,,Lake Placid,Y,C,0.059,N,SENSOR: lost voltage reading ~ 5:10 PM (17:10) then resolved in 5 min,T1
142,,A-3,3,02.19.2020,10:10:00,15:43:00,,North Key Largo,Y,C,0.082,N,,T1
401,,A-4,3,02.19.2020,10:11:00,10:44:00,,Plantation Key,N,,0.096,Y,,T1
312,,B-2,3,02.19.2020,10:12:00,11:30:00,,Key Largo,Y,B,0.038,N,,T1
196,,A-4,3,02.19.2020,10:44:00,11:32:00,,Gainesville,Y,C,0.040,N,,T1
347,,B-4,3,02.19.2020,10:46:00,11:33:00,,North Key Largo,Y,B,0.048,N,,T1
295,,A-2,3,02.19.2020,10:48:00,14:19:00,,Gainesville,Y,C,0.033,N,,T1
12,,A-4,3,02.19.2020,11:34:00,13:47:00,,Key Largo,Y,C,0.074,N,,T1
432,,B-2,3,02.19.2020,11:35:00,12:24:00,,North Key Largo,Y,C,0.039,N,,T1
412,,B-4,3,02.19.2020,11:36:00,17:40:00,,North Key Largo,Y,C,0.030,N,,T1
258,,B-2,3,02.19.2020,12:25:00,12:55:00,,Homestead,Y,B,0.025,N,,T1
45,,B-2,3,02.19.2020,13:26:00,14:09:00,,Homestead,Y,BC,0.033,N,,T1
109,,A-4,3,02.19.2020,13:56:00,14:29:00,,Plantation Key,N,,0.055,N,,T1
27,,A-2,3,2.19.2020,14:30:00,15:00:00,,North Key Largo,N,,0.120,Y,,T1
11,,A-4,3,2.19.2020,14:31:00,15:15:00,,Key Largo,Y,C,0.043,N,,T1
152,,B-2,3,2.19.2020,14:32:00,15:00:00,,Homestead,N,,0.029,N,,T1
