ID,set_number,chamber,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,trial_type,latitude,longitude
435,1,A-2,02.17.2020,8:15:00,11:35:00,12000.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.034,N,T1,25.2734885,-80.3040957
143,1,A-3,02.17.2020,8:15:00,08:45:00,1800.0,M,North Key Largo,North Key Largo,MM165,C. corindum,N,,,0.032,N,T1,25.2275238,-80.3283788
338,1,A-4,02.17.2020,8:15:00,09:15:00,3600.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,C,,0.038,N,T1,25.2565615,-80.3108042
267,1,B-2,02.17.2020,8:15:00,19:56:05,42065.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.040,N,T1,27.298631,-81.36615
202,1,B-3,02.17.2020,8:15:00,11:26:00,11460.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,C,,0.037,N,T1,24.9735748,-80.5539224
374,1,B-4,02.17.2020,8:15:00,08:45:00,1800.0,F,Lake Placid,Highlands,110N Main,K.elegans,N,,,0.078,Y,T1,27.298631,-81.36615
275,1,A-3,02.17.2020,8:45:00,17:10:00,30300.0,M,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,,0.030,N,T1,27.8967403,-81.5804654
63,1,B-1,02.17.2020,8:45:00,09:15:00,1800.0,F,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,,0.069,N,T1,27.8967403,-81.5804654
252,1,B-4,02.17.2020,8:45:00,09:15:00,1800.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,B,,0.038,N,T1,25.491362,-80.485821
242,1,A-4,02.17.2020,9:15:00,09:55:00,2400.0,M,North Key Largo,North Key Largo,MM165,C. corindum,Y,C,,0.033,N,T1,25.2275238,-80.3283788
239,1,B-4,02.17.2020,9:15:00,09:50:00,2100.0,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,N,,,0.033,N,T1,25.1755702,-80.36780089
62,1,B-1,02.17.2020,9:18:00,21:26:24,43704.0,M,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,SENSOR: sensor readings very small drops ,0.033,N,T1,27.8967403,-81.5804654
21,1,B-4,02.17.2020,9:55:00,10:27:00,1920.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,B,,0.034,N,T1,25.2734885,-80.3040957
213,1,A-4,02.17.2020,9:55:00,10:27:00,1920.0,M,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.044,N,T1,25.1000151,-80.437522
