ID,population,sex,beak,thorax,wing,body,w_morph,notes,date_measured,date_entered,recorder
418,NKL,M,6.56,2.91,8.02,11.22,L,,04.10.2020,04.10.2020,AB
419,NKL,M,6.09,3.08,8.05,11.21,L,wings torn at the end,04.10.2020,04.10.2020,AB
420,NKL,F,7.02,3.06,7.35,10.48,L,wings torn at the end,04.10.2020,04.10.2020,AB
421,NKL,M,6.65,3.31,8.3,11.5,L,,04.10.2020,04.10.2020,AB
423,NKL,M,5.83,2.69,7.11,10.03,L,,04.10.2020,04.10.2020,AB
424,NKL,F,7.32,3.05,8.34,11.68,L,,04.10.2020,04.10.2020,AB
425,NKL,M,6.17,2.91,7.57,10.44,L,,04.10.2020,04.10.2020,AB
426,NKL,M,6.03,3.05,8.01,11,L,,04.10.2020,04.10.2020,AB
427,NKL,M,5.81,2.78,7.32,10.12,L,,04.10.2020,04.10.2020,AB
428,NKL,F,6.35,3.03,7.38,10.93,L,,04.10.2020,04.10.2020,AB
429,NKL,F,7.51,3.09,7.91,11.42,L,,04.10.2020,04.10.2020,AB
431,NKL,M,6.13,3.22,8.68,11.83,L,,04.10.2020,04.10.2020,AB
432,NKL,M,6.59,2.96,7.87,11.05,L,,04.10.2020,04.10.2020,AB
433,NKL,M,5.88,3.07,8.12,11.04,L,wings torn at the end,04.10.2020,04.10.2020,AB
434,NKL,M,6.3,2.99,7.93,11.11,L,,04.10.2020,04.10.2020,AB
435,NKL,M,5.93,3.03,7.89,10.85,L,,04.10.2020,04.10.2020,AB
437,NKL,M,5.92,3.35,8.93,12.04,L,,04.10.2020,04.10.2020,AB
438,NKL,F,6.79,3.61,9.77,13.39,L,,04.10.2020,04.10.2020,AB
439,NKL,M,5.68,2.78,7.72,10.29,L,,04.10.2020,04.10.2020,AB
441,NKL,M,6.23,3.34,8.89,12.04,L,,04.10.2020,04.10.2020,AB
442,NKL,M,5.86,2.91,7.99,11.06,L,,04.10.2020,04.10.2020,AB
443,NKL,M,5.56,3.24,8.16,11.42,L,,04.10.2020,04.10.2020,AB
444,NKL,M,6.29,2.9,7.78,10.89,L,,04.10.2020,04.10.2020,AB
